property,count
Insulating Nature,1
Ellipsometric parameters,1
Number of modules,1
ICRN Product,1
Shockley-Queisser Limit,1
Soldering Method,1
Alkaline Phosphatase Activity,1
Antenna Configuration,1
Guard Ring,1
HAADF-STEM,1
Undercut,1
Steepness parameter (σ),1
Cyclic Voltammogram,1
Vmpp,1
Circular Dichroism,1
Data Acquisition,1
Anomalous behavior,1
Presence of macrosteps,1
Ids-Vgs Transfer Characteristics,1
Number of Binding Sites (n),1
Weight Change due to Hot Corrosion,1
Anchoring group,1
Presence of SnO2 phase,1
Presence of wrinkles,1
Infiltration,1
Branch Point Energy,1
Self-Assembly,1
Weak Antilocalization,1
Error-free Operation,1
Hepatoprotective Effects,1
Nonparabolicity,1
Miscibility,1
Boiling point,1
Function,1
Caspase-3 activity,1
Induction Period,1
Depolarization,1
Framework,1
Autocorrelation pulse width,1
Nyquist plot,1
Not Directly Measured in this study,1
Dark Spots,1
Reverse leakage mechanism,1
Kink Power,1
[Not specified],1
Anticrossing Behavior,1
Dead Time,1
p-type nature,1
Giant Zeeman Effect,1
Formaldehyde Response,1
Composition of NW Body - Growth Catalyst Pretreatment Substrate Surface Potential,1
Diffusivity,1
NDR1 Voltage Position,1
VCSEL Structure,1
Eye Opening,1
Flatband Voltage (VFB),1
Presence of CuPt-type ordering,1
Redeposition Effect,1
Number of atoms in 2 × 2 × 2 supercell vibrating along z direction with π phase difference,1
Evolution,1
Redistribution Behavior,1
Analysis Method,1
U-value,1
Conclusion,1
Eu content,1
Isoelectric point (IEP),1
Ratio of silicon dihydride content to silicon monohydride content,1
InN Content,1
Wiberg Bond Index,1
Interchain Packing,1
XPS (P 2p),1
Squared Overlap Integral of Wavefunctions,1
α1,1
Outgassing Amount,1
Percolation Threshold,1
Tool Life,1
Safety factor profile,1
Number of Turns,1
Small-Signal Parameters,1
Change in Legendre Polynomial Amplitudes,1
Ashing Rate,1
Scan Speed,1
Development time,1
FPA Format,1
Cauchy's Parameter A,1
Treatment,1
Inhibition,1
Urea Sensitivity,1
Convergence,1
Interferometer Structure,1
Metric 33,1
Differential Scanning Calorimetry,1
Finesse,1
FWHM of RC along [00.1] direction (parallel to (00.1)),1
Swelling,1
Decoherence rate,1
1 dB Compression Point,1
Hyperfine (HF) interaction with 13C nuclei (basal),1
Recovery in Real Sample,1
Integrity,1
Interval,1
PL at ~3.0 eV,1
Presence of Inclusions,1
"P(E,T)",1
Sensitizer,1
FM vs AFM energy difference,1
Cantilever Dimensions,1
Residue,1
Relative oscillator strength (ROS) of FXA for E || [10-10] polarization,1
Chronoamperometry (I-t),1
Matrix element of momentum,1
Cool Down Time,1
Atomic Force Microscopy,1
Response to 'BLV-negative' serum,1
A1 (LO) mode,1
Graphitization Degree,1
Response to NO2,1
Demultiplexing Operation,1
Tailing Parameter,1
Overall HEMT Structure,1
Avalanche Multiplication,1
Capping Agent,1
Presence of precipitates,1
Immobilization,1
Minimum Feature Size Achieved,1
Gibbs Free Energy,1
Dynamic RON,1
Sensitivity to NH3,1
σperp,1
Microcavity structure,1
Gummel Plot,1
Poole-Frenkel coefficient,1
Redshift,1
Pitch,1
Dissociation,1
Franck-Condon Shift,1
Overpotential at 10 mA cm⁻²,1
Drift Field,1
Real-time Monitoring,1
Average Monthly Wind Speed,1
Dopamine Detection,1
Subthreshold Swing (S),1
Binding of Brucella in milk to 4-ATP SAM,1
Meyer-Neldel Rule parameters,1
Interfacial abruptness,1
Shrinkage,1
Filter type,1
Richardson Constant,1
VSWR,1
Eff,1
fT,1
Calcium,1
SWNT Quality (G/D Ratio),1
TFT Structure,1
Directivity,1
Reflactance,1
J_SC,1
Apparent Association Constant,1
Hamiltonian,1
Gene Expression,1
N,1
Ga–N First Shell Distance,1
Rheological Behavior,1
Pz Orbital Passivation,1
Third Order Intercept Point,1
Silane flow,1
False Alarm Rate,1
Connection Type,1
Duty cycle,1
Lower Cut-off Length Scale (δ),1
AFM Tip Tip-Sample Fermi Velocity,1
Nanowire Orientation Control,1
Optical Eye Diagram Opening (After 1 km Fiber) at 40 Gb/s,1
Iph/Idark Ratio,1
Theoretical Calculations,1
Format,1
Space Charge Limited Current (SCLC) Behavior,1
Residual β-phase hydride,1
Presence of C-H Complexes,1
Brillouin Zone,1
Antireflection properties,1
SERS Sensitivity,1
Doppler Broadening S Parameter,1
Frontier Orbital Levels,1
Cd₁₋ₓZnₓS,1
Dilatation,1
Mask Erosion (Lateral),1
Quality Factor (Q-factor) of WGMs,1
DFT Calculation,1
N1s NEXAFS Spectrum,1
Magnitude of Potential Fluctuations,1
Dirac Point Voltage,1
Sidelobe level,1
Source Type,1
Electrical Impedance Spectroscopy (EIS),1
Multiplexing capability,1
Presence of Carboxyl Group,1
Forward Voltage at 20 mA,1
Sputtering,1
Area-based frequency analysis match with mammography findings,1
Footprint,1
Attachment Method,1
Overlay Accuracy (Mean),1
Dark Count Probability per Gate,1
Chirality,1
Pinch-off characteristics,1
Entanglement entropy,1
Beam waist,1
Efficacy,1
Shockley-Read-Hall lifetime,1
Impp,1
Hyperpolarizability,1
Planck's constant,1
Complexity,1
Presence of Diamond,1
CNT-FET used for SGM Measurement,1
Lithium Content,1
Backscattering effect,1
Adhesion,1
ESD Pass Yield,1
First Porphyrin-Ring Reduction Potential,1
Inlet Configuration,1
Stokes Shift,1
Incubation Time,1
Agglomeration,1
Solid Vapor Composition relationship,1
Eloss,1
Pseudomorphic nature,1
Modification,1
Comparison with experimental data,1
Technology node,1
Out-of-Band Rejection,1
Bose-Einstein Parameter,1
Mean Time to Failure (MTTF),1
Driving force,1
Burgers Vector,1
Scintillation,1
CMOS Compatibility,1
HOMO-1 Shift,1
Conformality,1
Enthalpy change,1
Cross-hatch Pattern Presence,1
Presence of Ti3+ (oxygen vacancies),1
Conjugation,1
Substituents,1
Presence of Sapphire Substrate Influence,1
PL Quantum Yield (before ligand exchange),1
Ambipolar Transport Behavior,1
Thermally stimulated current (TSC),1
Whisker Morphology,1
Waveguiding mechanism,1
Poisson's ratio (ν),1
Regeneration Capability,1
TOC removal,1
SPV Signal Sign,1
Obscuration,1
G-X Crossover Pressure,1
Active Species,1
Mesa Isolation,1
Secondary Ion Mass Spectroscopy (SIMS),1
Exfoliation,1
Staebler-Wronski Effect,1
Microstrain,1
Debye-Waller factor,1
CT states,1
Not reported,1
Ridge structure,1
Potential for optoelectronic devices,1
Encapsulation,1
Ethanol Response,1
GIXRD Pattern,1
Response to TEA,1
Nominal In content,1
Loading Method 1,1
Mulliken Population,1
Transverse sound velocity,1
Electroreflectance,1
Effective Rydberg,1
Astigmatism,1
Antimony Content,1
Delta,1
SIMS,1
Longitudinal gauge factor,1
Compactness,1
A,1
EH exchange splitting for 2X2–,1
Challenges,1
1 dB Loss Misalignment Tolerance,1
Bond Valence Sum Σν(I1),1
Example,1
Etch Track Directionality,1
Fmax,1
CdCl2 Treatment,1
Aging,1
Power in Central Lobe,1
Trench Profile Evolution,1
Ink Composition,1
As antisite defect (AsGa) Concentration,1
Transmissivity,1
Continuity,1
Number of Repeats,1
Modulator Length,1
Chirp parameter,1
Substitution Site,1
Total Relative Abundance,1
Gamma Ray Response,1
