cluster_id,representative_property
cluster_5,Absorbed photon flux
cluster_50,Atomic % (Composition)
cluster_500,Formation mechanism
cluster_501,Electrochemical HOMO-LUMO Gap
cluster_502,Chemical Homogeneity
cluster_503,Chemical State of Ti
cluster_504,Enhancement in IPCE
cluster_505,E0-0
cluster_506,Fe/O Ratio
cluster_507,Dark spot density
cluster_508,Activation
cluster_509,Number of Quantum Well Periods
cluster_51,Active-area efficiency
cluster_510,Space Charge Limited Current Hole Mobility
cluster_511,Element size
cluster_512,Chemical Potential Shift
cluster_513,Base Dimension
cluster_514,Eigenfrequency
cluster_515,Adsorption geometry
cluster_516,Adsorption on TiO2
cluster_517,Chemical Reactions
cluster_518,Density-of-states Effective Mass Product
cluster_519,Finger width
cluster_52,Absence of Luminescence Quenching
cluster_520,Ground State Configuration
cluster_521,Broadening factor
cluster_522,AFM RMS Roughness
cluster_523,Cation Ordering
cluster_524,In-plane symmetry
cluster_525,Adhesion energy
cluster_526,Formation
cluster_527,Si 2p XPS Spectrum
cluster_528,FWHM of GaN (0002) X-ray diffraction rocking curve
cluster_529,Current-Voltage (I-V) behavior
cluster_53,Channel Temperature
cluster_530,Molecular Packing
cluster_531,Average Absolute Deviation
cluster_532,Mass Loss
cluster_533,Chip photograph
cluster_534,2-DEG mobility
cluster_535,Dielectric Function Imaginary Part
cluster_536,Junction Abruptness
cluster_537,Chromaticity
cluster_538,Average period
cluster_539,Coherent oscillation frequency
cluster_54,Catastrophic Optical Damage
cluster_540,Aggregate Size Distribution
cluster_541,Fermi level at surface
cluster_542,(0002)-plane XRC FWHM
cluster_543,Compensation
cluster_544,Dark I-V Characteristic
cluster_545,Antenna Dimensions
cluster_546,Corrosion
cluster_547,Diode area
cluster_548,B1 Bond Length (π-conjugated group)
cluster_549,Die Size
cluster_55,Absorber
cluster_550,Boron Composition
cluster_551,Coulomb Blockade Oscillations
cluster_552,Contribution to LUMO
cluster_553,Built-in voltage (Vbi)
cluster_554,Fermi Level Pinning
cluster_555,Array periodicity
cluster_556,Fe-O-Fe bond angle
cluster_557,Vacuum Level Misalignment
cluster_558,Domain Boundary Type
cluster_559,Forward I-V characteristic
cluster_56,Activation Energy (EA1 - low temperature region)
cluster_560,Ag Content
cluster_561,Permittivity
cluster_562,Bulk Heterojunction Formation
cluster_563,Steepness Parameter of Urbach Tail (A)
cluster_564,C-axis constant
cluster_565,Polydispersity
cluster_566,Implantation
cluster_567,Imaginary Part of Third-Order Susceptibility
cluster_568,Baliga's Figure of Merit
cluster_569,Antiphase Domains (APDs)
cluster_57,Angle-Dependent Reflectance
cluster_570,Absorptance Spectra
cluster_571,Micro-Photoluminescence (µ-PL) FWHM
cluster_572,Characteristic Raman Bands
cluster_573,Emitter Width
cluster_574,Al 2p Peak Position
cluster_575,Dye Fluorescence Enhancement
cluster_576,Current with UV light
cluster_577,Full Width at Half Maximum (FWHM) of ZnO(0002) peak
cluster_578,Dominant Mode Resonant Frequency
cluster_579,Average Transmittance (Visible Range)
cluster_58,Activation Energy (PL quenching)
cluster_580,Dark-to-Light Conductivity Ratio
cluster_581,EL
cluster_582,Attenuation Coefficient
cluster_583,Electrode pattern
cluster_584,QE at 1400 nm
cluster_585,Background Limited Infrared Performance
cluster_586,Onset potential
cluster_587,Electrical Type
cluster_588,Dark Current Stability
cluster_589,Aperture Area
cluster_59,Active Region Temperature Rise
cluster_590,Dipole Moment (excited state)
cluster_591,Magnetization Saturation
cluster_592,Photocatalytic H2 Production Activity
cluster_593,Peak hole mobility
cluster_594,Photon Counting Probability
cluster_595,Adhesive Strength
cluster_596,Impulse response
cluster_597,Grain size perpendicular to surface
cluster_598,Device Diameter
cluster_599,DC Transconductance
cluster_6,Average Crystal Radius
cluster_60,AM1 Conductivity
cluster_600,Apparent rate constant
cluster_601,Extinction index
cluster_602,Layered structure confirmation
cluster_603,Mo/S Ratio
cluster_604,Device Area
cluster_605,Capacitance transient
cluster_606,EL Full Width at Half Maximum
cluster_607,Biexciton lifetime
cluster_608,10–90% Rise Time
cluster_609,Flatness
cluster_61,Chemical State / Bonding at Interface
cluster_610,Deep Center
cluster_611,Contamination
cluster_612,Backbone Planarity
cluster_613,Characterization
cluster_614,Characteristics
cluster_615,Anode-to-cathode Gap
cluster_616,Catastrophic Optical Mirror Damage
cluster_617,Mode Splitting
cluster_618,Collection Efficiency Improvement
cluster_619,Maximum Continuous-Wave (cw) Output Power
cluster_62,2DEG Density
cluster_620,Microstructure factor
cluster_621,Noise equivalent power
cluster_622,Size Distribution (Standard Deviation)
cluster_623,Atomic Coordinates
cluster_624,Drift Saturation Velocity
cluster_625,Grid Line Width
cluster_626,Charge Transfer Time
cluster_627,Maximum modal gain
cluster_628,Elongation
cluster_629,Interfacial oxide
cluster_63,Basal Plane Dislocation (BPD) Density
cluster_630,Deep Level Defect (Trap)
cluster_631,Device Type
cluster_632,Alignment Accuracy
cluster_633,Fabrication Technique
cluster_634,Localized States
cluster_635,AFM
cluster_636,Dominant Orientation
cluster_637,Capacity
cluster_638,Ambipolar mobility
cluster_639,CL
cluster_64,Adherence to Substrate
cluster_640,Lateral Extension
cluster_641,Linearity of Response
cluster_642,Dominant acceptor impurity
cluster_643,Ga Content
cluster_644,Spin Dephasing Time
cluster_645,Charge Transfer Resistance at MMO/CdS/electrolyte interface
cluster_646,Active Area Area
cluster_647,Flux
cluster_648,Binding
cluster_649,AlGaAs Composition
cluster_65,Accumulation capacitance
cluster_650,Impurity (O content)
cluster_651,Complex formation
cluster_652,Deep Level Hole Capture Cross-section
cluster_653,GaN Film Polarity
cluster_654,Performance metrics for THIS system
cluster_655,N–H Stretching Vibration
cluster_656,Operating Voltage at 5 mW Output
cluster_657,Average Tilt Angle
cluster_658,Free-Volume
cluster_659,FWHM of reciprocal lattice point
cluster_66,Blend Film Morphology - Surface
cluster_660,Positron trapping rate
cluster_661,Bending Strength
cluster_662,Average Domain Size
cluster_663,Intermolecular packing
cluster_664,Carbon Contamination
cluster_665,Aging Stability
cluster_666,Nitrogen Flux
cluster_667,Deviation of Stoichiometry
cluster_668,Hydrodynamic Size
cluster_669,Decomposition
cluster_67,Band Discontinuity
cluster_670,Chamber Pressure
cluster_671,CO Conversion
cluster_672,Potentiometric Slope
cluster_673,Simulation
cluster_674,FET Hole Mobility
cluster_675,Cyclic voltammetry
cluster_676,Grid Period
cluster_677,SPV Signal
cluster_678,Micro-hardness
cluster_679,Compositional Indium Fluctuation
cluster_68,AM1 Efficiency
cluster_680,Decomposition Onset
cluster_681,Reverse Bias Current
cluster_682,Misfit dislocation network
cluster_683,Mirror curvature radius
cluster_684,C-Axis Tilt
cluster_685,RHEED Intensity Oscillation Behavior
cluster_686,Coercive Electric Field
cluster_687,Correlation Effect
cluster_688,1/f Noise Corner Frequency
cluster_689,Nuclear Spin
cluster_69,Absolute Surface Energy
cluster_690,Bias Voltage during noise measurement
cluster_691,Passband
cluster_692,Adsorption Energy (Eads)
cluster_693,I2D/IG ratio
cluster_694,Number of Steps
cluster_695,Formula Weight
cluster_696,Cleaning Efficacy
cluster_697,Dielectric tensor element exy (Imaginary part)
cluster_698,Pit Size (Average)
cluster_699,LPE Sensitivity
cluster_7,2DEG concentration
cluster_70,AFM Morphology
cluster_700,Not explicitly detailed in the provided text for this specific system
cluster_701,Förster Distance
cluster_702,Form factor
cluster_703,Capability
cluster_704,Biodegradable
cluster_705,Finger separation
cluster_706,Schottky Barrier Diode I–V Characteristics
cluster_707,Average Voc
cluster_708,J-V
cluster_709,Dipole Moment
cluster_71,Apparent free hole concentration
cluster_710,Coulomb Diamond
cluster_711,Grüneisen parameter
cluster_712,Capture Time
cluster_713,Frontier Orbital Energies
cluster_714,13C NMR
cluster_715,FESEM Image
cluster_716,Bit-Error-Rate Penalty due to Crosstalk
cluster_717,Weight Change
cluster_718,Absolute hardness (η)
cluster_719,Application
cluster_72,2DEG depth
cluster_720,Goodness of Fit
cluster_721,Electroluminescence (EL) Turn-on Voltage
cluster_722,Core Level to Valence Band Edge Binding Energy
cluster_723,Band-tail width
cluster_724,Crystalline quality (peak position)
cluster_725,UV Sensing Performance
cluster_726,Effective Albedo
cluster_727,Bound Exciton Recombination FWHM
cluster_728,Rejection Ratio (UV-to-visible)
cluster_729,PL decay kinetics
cluster_73,Circular Polarization Degree
cluster_730,PL Thermal Quenching
cluster_731,FWHM (0002) rocking curve
cluster_732,Donor–acceptor pair transitions
cluster_733,Frequency Shift
cluster_734,Open circuit voltage dependence on light intensity slope
cluster_735,Raman Shift
cluster_736,Miniband formation
cluster_737,Distribution
cluster_738,CL Temperature Dependence
cluster_739,Beam angle
cluster_74,Beam current
cluster_740,Kinetics
cluster_741,Atomic Orbital Energies
cluster_742,Bandgap (EG)
cluster_743,Metal Impurity Concentration
cluster_744,Electron g-factor
cluster_745,Action Spectrum
cluster_746,Al 2p XPS peak position
cluster_747,Material Property
cluster_748,Amplification Gain
cluster_749,PL Lines
cluster_75,Analytically Modelled Dielectric Loss
cluster_750,Near Field Pattern
cluster_751,EL peak shift with current
cluster_752,Monolayer Confirmation
cluster_753,Average Lifetime
cluster_754,E2(high) Phonon Peak Position
cluster_755,Defect Centers
cluster_756,Etched Facet Morphology
cluster_757,Number of Graphene Layers
cluster_758,Window diameter
cluster_759,Lattice Match to GaAs
cluster_76,Busbar Width
cluster_760,Sidewall Verticality
cluster_761,Extinction Coefficient (k) at 632.8 nm
cluster_762,Detection Range
cluster_763,Composition homogeneity
cluster_764,Sample Area
cluster_765,D-Spacing (002)
cluster_766,Quantum Size Effect
cluster_767,Fiber Coupling Efficiency
cluster_768,Density of Slow Surface States
cluster_769,Presence of Si
cluster_77,Ag 3d Binding Energy
cluster_770,Common-emitter I–V characteristics
cluster_771,3-dB Cut-off Frequency
cluster_772,Chemical nature
cluster_773,Electrical Stability
cluster_774,MoSe2 Layer Formation
cluster_775,NBE FWHM
cluster_776,Aperture
cluster_777,Calculated JSC from EQE
cluster_778,External Quantum Efﬁciency
cluster_779,Overall Cell Conversion Efficiency
cluster_78,APD Gain
cluster_780,Full Width at Half-Minimum (FWHM) of TE0 Guided Mode
cluster_781,Dynamic Range
cluster_782,Heterointerface Quality
cluster_783,ID/IG Ratio (Raman)
cluster_784,Oscillator Strength of 1s1→1s2 Transition
cluster_785,Lateral Strain
cluster_786,Birefringence
cluster_787,Electron Blocking Layer
cluster_788,Boundary Condition
cluster_789,ESD Threshold Voltage
cluster_79,3-dB Saturation Output Power
cluster_790,Doping profile abruptness
cluster_791,Annual Cooling Load
cluster_792,Contribution to Dispersion Stability
cluster_793,Terrace Width
cluster_794,Base-Collector Junction Area
cluster_795,Ferroelectric Phase Transition Temperature
cluster_796,Air-Fill Factor
cluster_797,Magneto-Resistance
cluster_798,HOMO Offset
cluster_799,Fitting parameter
cluster_8,0% Cut-off Wavelength
cluster_80,Al-O Bonding
cluster_800,Cost of Electricity
cluster_801,Effective diffusion coefficient
cluster_802,Charge Transfer Resistance (Rct)
cluster_803,THz Detection Capability
cluster_804,Fiber Coupled Output Power
cluster_805,Hole Radius / Lattice Constant Ratio
cluster_806,Contribution to electronic states
cluster_807,Composition fluctuations
cluster_808,Electrically Active Phosphorus Concentration
cluster_809,In-vacancy (VIn) Concentration
cluster_81,AFM Surface Roughness
cluster_810,Concentration of trap ME3
cluster_811,Effective Potential Height for Electrons
cluster_812,Hall Resistance
cluster_813,Metallization
cluster_814,Hole Impact Ionization Coefficient
cluster_815,B Content
cluster_816,External Quantum Eﬃciency
cluster_817,Cleavage plane
cluster_818,Lattice Image Contrast
cluster_819,O–Si–N bond fraction
cluster_82,Access Resistance
cluster_820,Si-H Bond Stretching Absorption
cluster_821,Indium Segregation
cluster_822,Confinement
cluster_823,Cycle Stability
cluster_824,GaSb Molar Fraction
cluster_825,Propagation
cluster_826,Electrophoretic Mobility
cluster_827,Nitrogen Incorporation Rate
cluster_828,Local vibrational mode (LVM) frequency
cluster_829,Acceptor level
cluster_83,Average distance
cluster_830,Tuning mechanism
cluster_831,Characteristic Length
cluster_832,Ablation Morphology
cluster_833,Open circuit potential (OCP)
cluster_834,AlN/Si Interface
cluster_835,Etch Mask
cluster_836,Concentration of S Donors
cluster_837,Diamagnetic shift
cluster_838,Contrast potential
cluster_839,Elastic constants
cluster_84,As-In bond length
cluster_840,2DEG Formation
cluster_841,Arrangement of QDs
cluster_842,Diode structure
cluster_843,Coulomb interaction
cluster_844,Capacity Factor
cluster_845,Global Solar Radiation
cluster_846,CPW Dimensions
cluster_847,Dominant Acceptor
cluster_848,Chip size
cluster_849,Chemical State of Sn
cluster_85,3 dB Small-Signal Bandwidth
cluster_850,1H NMR Spectroscopy
cluster_851,Parasitic Elements
cluster_852,C=O Stretching
cluster_853,Minimum Achievable Nanopore Diameter
cluster_854,Interface Quality with Sapphire
cluster_855,Nonlinearity parameter
cluster_856,Vacancy
cluster_857,Average NP size
cluster_858,Equivalent Circuit
cluster_859,Presence of C-Si Bonds (XPS)
cluster_86,Area ratio
cluster_860,CBM Orbital Contribution
cluster_861,Behavior
cluster_862,Polytypes
cluster_863,Ge Content
cluster_864,Drain Lag
cluster_865,Hydrogen Incorporation
cluster_866,In content (x)
cluster_867,Device Active Area
cluster_868,Au Nanoparticle Presence
cluster_869,Accumulation
cluster_87,Current Ratio
cluster_870,Cr Content
cluster_871,Si-C Bond Stretching Vibration
cluster_872,Capacity after 1000 Cycles
cluster_873,Tauc coefficient
cluster_874,Graphene Coverage
cluster_875,Current loss by the top subcell in respect to middle one
cluster_876,Average Jsc
cluster_877,Magnetic Field Dependence
cluster_878,Presence of V-pits
cluster_879,Compressive Strength
cluster_88,2D band position
cluster_880,In Content
cluster_881,Hall Measurements
cluster_882,Equivalent Circuit Models
cluster_883,Auger Coefficient
cluster_884,Number of QW Pairs
cluster_885,Mosaic spread
cluster_886,Boron Distribution
cluster_887,Critical Exponents
cluster_888,Mott–Schottky Slope
cluster_889,Increase in Jsc
cluster_89,3-dB Frequency
cluster_890,Synthesis Conditions
cluster_891,Aggregation
cluster_892,Agglomerate size
cluster_893,Number of Carbon Atoms
cluster_894,In-plane Rotation
cluster_895,Deep Donors
cluster_896,Host Material
cluster_897,Dissociation constant
cluster_898,Reconstruction
cluster_899,Flow Rate
cluster_9,Acceptor Doping Concentration
cluster_90,Alloy composition
cluster_900,Diode Factor
cluster_901,Enthalpy of Mixing
cluster_902,As Content
cluster_903,Dot Alignment Quality
cluster_904,2Θ Position
cluster_905,Open-circuit Voltage (VOC)
cluster_906,Not Explicitly Characterized
cluster_907,Presence of Voids
cluster_908,Cellular Uptake
cluster_909,Internal Parameter
cluster_91,Average Photoluminescence Lifetime
cluster_910,Elastic mean free path
cluster_911,Incorporation Site
cluster_912,Aharonov–Bohm oscillations
cluster_913,"Dependence on Junction Type (pn vs np, n-n, n-n with different stabilizers, Reverse)"
cluster_914,Angular Distribution Function
cluster_915,Model Accuracy
cluster_916,Discharge Capacity
cluster_917,Front Facet Intensity Noise Level
cluster_918,Implied Open-Circuit Voltage (iVOC) (pre-ELO)
cluster_919,Acoustic Impedance
cluster_92,Activation Energy Barrier
cluster_920,Ionic State
cluster_921,Bit Rate
cluster_922,Ga–C asymmetric stretching mode
cluster_923,Design Optimization
cluster_924,Core-Shell Interface
cluster_925,Screw TDD
cluster_926,Reproducibility
cluster_927,0.4 µm Line/Space Clearing Dose
cluster_928,Cost
cluster_929,Dominant Nonlinear Susceptibility Component
cluster_93,Component Presence
cluster_930,Interdot Coulomb Interaction
cluster_931,Catalysis
cluster_932,Red-shift
cluster_933,Adduct formation
cluster_934,Bend loss
cluster_935,Average coordination number
cluster_936,CV characteristics
cluster_937,1S bleaching dynamics
cluster_938,Built-in Potential from C-V at 0.0001Hz
cluster_939,Ablation Mechanism
cluster_94,Average Mobility
cluster_940,Optimal pH
cluster_941,Redox Activity
cluster_942,Number of Segments
cluster_943,Form
cluster_944,Afterpulsing Probability
cluster_945,Dissolution Rate
cluster_946,5% weight loss temperature
cluster_947,Mask Effectiveness
cluster_948,Depletion
cluster_949,Functional metrics
cluster_95,Bound Exciton Decay Time
cluster_950,Curvature Coefficient
cluster_951,PEC CO2 reduction products
cluster_952,Critical Behaviour
cluster_953,Antibunching
cluster_954,Presence of Twins
cluster_955,Not Applicable (General Description)
cluster_956,Differential Non-Linearity
cluster_957,Degeneracy
cluster_958,Biocompatibility
cluster_959,Figure of Merit (zT)
cluster_96,Average Diagonal Stress Component
cluster_960,Not specific properties extracted
cluster_961,Bit error rate
cluster_962,Formation of nanoclusters
cluster_963,CIE 1931 color coordinates
cluster_964,Kondo effect
cluster_965,Haze
cluster_966,DBR composition
cluster_967,Capital cost
cluster_968,Inductance
cluster_969,Occupation Probability
cluster_97,Laser Ablation Threshold
cluster_970,DX Centers
cluster_971,Occupancy
cluster_972,Empirical Formula
cluster_973,Cycling performance
cluster_974,Relative Intensity Noise
cluster_975,Current Change under IR Illumination
cluster_976,FWHM Temperature Dependence
cluster_977,PL Intensity vs. Pump Power
cluster_978,Impedance Spectroscopy
cluster_979,Energetic Broadening
cluster_98,Broadening of PL Linewidth
cluster_980,CM Threshold Energy
cluster_981,Fluorescence Maxima
cluster_982,PL Lifetime component
cluster_983,Amplitude ratio
cluster_984,Deep donor-acceptor pair transition (DDA1) intensity dependence (low excitation)
cluster_985,Conduction Band Level
cluster_986,Maximum Lasing Temperature
cluster_987,Temperature-dependent PL
cluster_988,Photovoltage Mechanism
cluster_989,Hg Vacancy Concentration
cluster_99,Average d-spacing
cluster_990,Bound Exciton PL FWHM
cluster_991,Deep Acceptor Energy Level
cluster_992,Photosensitive Area
cluster_993,Net Peak Quantum Efficiency
cluster_994,External EL Quantum Efficiency
cluster_995,1/f Noise Spectral Density
cluster_996,Lateral Confinement Energy
cluster_997,Peak shift in XRD (111)
cluster_998,Current Responsivity
cluster_999,Plasmon dispersion coefficient (a)
